0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Rentals,,,,,,,,,Revenue,,,,,
Address,Price,Commission,Office,Agent,Date,Paid,Agent,,Sales,430000,2265000,0,0,0
1,1950,1950,975,975,44392,Y,GS,0.5,Rentals,37574,12955,0,0,0
2,2000,2000,1000,1000,44392,Y,GS,0.5,Commercial,3935,4200,0,0,0
3,2500,2500,1250,1250,44392,Y,GS,0.5,,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00
4,2150,2150,1075,1075,44392,Y,GS,0.5,Commissions,,,,,
5,1800,1800,900,900,44392,Y,GS,0.5,Sales,8600,53225,0,0,0
6,2200,2200,440,1760,44392,Y,PE,0.2,Rentals,36374,12955,0,0,0
7,2100,2100,1050,1050,44392,Y,GS,0.5,Commercial,3935,8400,0,0,0
8,1800,1800,360,1440,44449,Y,PE,0.2,Total,48909,19296,0,0,0
9,2600,1400,560,840,44392,Y,GS,0.4,,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00
10,1700,1700,680,1020,44392,Y,GS,0.4,,,,,,
11,1674,1674,669.6,1004.4,44468,Y,GS,0.4,,,Gross,Net,,
12,1600,1600,640,960,44484,Y,GS,0.4,Total Commission Earned,,245739,68472.6,,
13,2000,2000,800,1200,44493,Y,GS,0.4,Accepted Offers,,122250,32470,,
14,2300,2300,920,1380,44494,Y,GS,0.4,Total Pending,,4355,871,,
15,2000,2000,400,1600,44555,Y,PE,0.2,Total in Contract,,44600,10550,,
16,2000,2000,400,1600,44515,Y,PE,0.2,Total Received,,74534,24581.6,,
17,2400,2400,960,1440,44522,Y,GS,0.4,,,,,,
18,2800,2800,1120,1680,44543,Y,GS,0.4,AGENT SCORECARD,,,,,
19,2400,2300,1100,1200,,,CC,0.478260869565217,Agent Name,,Split A,Total Earned,,
20,2400,2300,1100,1200,44589,C,CC,0.478260869565217,PE,,0.8,115912,,
21,2055,2055,411,1644,44576,N,PE,0.2,GS,,0.65,58054.4,,
22,2300,2300,460,1840,44576,N,PE,0.2,CC,,0.6,3300,,
23,1500,1500,575,925,44571,Y,GS,0.383333333333333,,,,0,,
24,1800,1800,900,900,44585,C,CC,0.5,,,,0,,
25,3000,3000,1050,1950,44589,C,GS,0.35,,,,0,,
26,2400,2400,480,1920,,,PE,0.2,,,,0,,
,0,0,0,0,,,,,,,,0,,
,0,0,0,0,,,,,,,,0,,
,0,0,0,0,,,,,Total,,177266.4,,,
,0,0,0,0,,,,,,,,,,
,55429,54029,20275.6,33753.4,,0.375272538821744,,,,,,,,
Sales,,,,,,,,,Yearly Totals - PE,,,,,
Address,Price,Commission,Office,Agent,Date,Paid,Agent,,Rentals,14755,,,,
1,430000,8600,1720,6880,44558,Y,PE,0.2,Sales,117800,,,,
2,825000,12375,4950,7425,44573,Y,GS,0.4,Commercial,12335,,,,
3,470000,11750,2350,9400,44565,Y,PE,0.2,,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00
4,970000,29100,5820,23280,44585,C,PE,0.2,Yearly Totals - GF,,,,,
5,1125000,22500,4500,18000,,,PE,0.2,Rentals,32874,,,,
6,860000,17200,3440,13760,,,PE,0.2,Sales,61575,,,,
7,1950000,39000,13650,25350,,,GS,0.35,Commercial,0,,,,
8,0,0,0,0,,,PE,,,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00
9,420000,8400,1680,6720,,,PE,0.2,Yearly Totals - CC,,,,,
10,810000,20250,4050,16200,,,PE,0.2,Rentals,6400,,,,
11,510000,10200,3570,6630,,,GS,0.35,Sales,0,,,,
,0,0,0,0,,,,,Commercial,0,,,,
,0,0,0,0,,,,,,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00
,0,0,0,0,,,,,,,,,,
,0,0,0,0,,,,,,,,,,
,0,0,0,0,,,,,,,,,,
Moore,0,0,0,0,,,,,,,,,,
Skinny Pig's Yiayia,0,0,0,0,,,,,,,,,,
,8370000,179375,45730,133645,,0.254940766550523,,,,,,,,
Commercial - Lease,,,,,,,,,,,,,,
Address,Price,Commission,Office,Agent,Date,Paid,Agent,,,,,,,
1,735,735,147,588,44515,Y,PE,0.2,,,,,,
2,800,800,160,640,44515,Y,PE,0.2,,,,,,
3,2400,2400,480,1920,44515,Y,PE,0.2,,,,,,
4,4200,8400,1680,6720,44581,C,PE,0.2,,,,,,
5,0,0,0,0,,,PE,,,,,,,
6,0,0,0,0,,,PE,,,,,,,
7,0,0,0,0,,,PE,,,,,,,
8,0,0,0,0,,,PE,,,,,,,
,0,0,0,0,,,,,,,,,,
,0,0,0,0,,,,,,,,,,
,0,0,0,0,,,,,,,,,,
,0,0,0,0,,,,,,,,,,
,0,0,0,0,,,,,,,,,,
,8135,12335,2467,9868,,0.2,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
b,,,, xcb.,,,,,,,,,,
